"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"CIVr101";"CIV";"Abidjan";3757;0.581;0.543;0.622;0.582
"CIVr102";"CIV";"Yamoussoukro";154;0.636;0.659;0.643;0.607
"CIVr103";"CIV";"Bas Sassandra";729;0.429;0.502;0.325;0.483
"CIVr104";"CIV";"Comoe";1031;0.415;0.477;0.306;0.488
"CIVr105";"CIV";"Denguele";525;0.353;0.43;0.196;0.52
"CIVr106";"CIV";"Goh-Djiboua";944;0.448;0.486;0.409;0.453
"CIVr107";"CIV";"Lacs";1513;0.418;0.51;0.306;0.467
"CIVr108";"CIV";"Lagunes";1410;0.479;0.481;0.466;0.489
"CIVr109";"CIV";"Montagnes";1880;0.4;0.442;0.332;0.437
"CIVr110";"CIV";"Sassandra-Marahoue";2224;0.427;0.507;0.339;0.452
"CIVr111";"CIV";"Savanes";864;0.423;0.504;0.314;0.477
"CIVr112";"CIV";"Vallee du Bandama";716;0.465;0.475;0.423;0.5
"CIVr113";"CIV";"Woroba";791;0.243;0.418;0.084;0.408
"CIVr114";"CIV";"Zanzan";1149;0.348;0.436;0.216;0.449
