"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"GHAr101";"GHA";"Western";2588;0.599;0.69;0.565;0.551
"GHAr102";"GHA";"Central";2641;0.564;0.639;0.511;0.549
"GHAr103";"GHA";"Greater Accra";4611;0.663;0.695;0.653;0.641
"GHAr104";"GHA";"Volta";2274;0.575;0.662;0.556;0.516
"GHAr105";"GHA";"Eastern";2900;0.589;0.659;0.566;0.547
"GHAr106";"GHA";"Ashanti";4910;0.597;0.652;0.563;0.58
"GHAr107";"GHA";"Brong Ahafo";2413;0.557;0.632;0.511;0.535
"GHAr108";"GHA";"Northern";2536;0.476;0.582;0.363;0.511
"GHAr109";"GHA";"Upper West";789;0.49;0.579;0.411;0.494
"GHAr110";"GHA";"Upper East";1196;0.49;0.617;0.4;0.477
