"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"LBRr101";"LBR";"Bomi";153;0.467;0.66;0.429;0.359
"LBRr102";"LBR";"Bong";571;0.45;0.669;0.393;0.347
"LBRr103";"LBR";"Gbarpolu";115;0.394;0.595;0.319;0.322
"LBRr104";"LBR";"Grand Bassa";282;0.42;0.587;0.36;0.35
"LBRr105";"LBR";"Grand Cape Mount";249;0.402;0.543;0.344;0.347
"LBRr106";"LBR";"Grand Gedeh";114;0.472;0.631;0.451;0.368
"LBRr107";"LBR";"Grand Kru";144;0.444;0.614;0.432;0.329
"LBRr108";"LBR";"Lofa";285;0.428;0.647;0.347;0.349
"LBRr109";"LBR";"Margibi";415;0.47;0.609;0.447;0.381
"LBRr110";"LBR";"Maryland";164;0.477;0.625;0.464;0.373
"LBRr111";"LBR";"Montserrado";1810;0.554;0.639;0.584;0.456
"LBRr112";"LBR";"Nimba";706;0.471;0.665;0.436;0.359
"LBRr113";"LBR";"River Cess";88.5;0.434;0.645;0.385;0.328
"LBRr114";"LBR";"River Gee";69.3;0.478;0.642;0.467;0.364
"LBRr115";"LBR";"Sinoe";135;0.441;0.557;0.436;0.352
