"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"MRTr101";"MRT";"Hodh Charghi";277;0.409;0.568;0.249;0.482
"MRTr102";"MRT";"Hodh Gharbi";281;0.436;0.66;0.254;0.495
"MRTr103";"MRT";"Assaba";262;0.437;0.712;0.233;0.501
"MRTr104";"MRT";"Gorgol";295;0.384;0.624;0.177;0.516
"MRTr105";"MRT";"Brakna";266;0.427;0.666;0.223;0.524
"MRTr106";"MRT";"Trarza incl Nouakchott";985;0.533;0.652;0.368;0.632
"MRTr107";"MRT";"Adrar";63;0.45;0.541;0.312;0.541
"MRTr108";"MRT";"Nouadhibou";109;0.552;0.661;0.359;0.707
"MRTr109";"MRT";"Tagant";63.9;0.446;0.729;0.244;0.5
"MRTr110";"MRT";"Guidimagha";169;0.346;0.552;0.145;0.514
"MRTr111";"MRT";"Tiris-Zemmour";41.2;0.523;0.609;0.354;0.662
"MRTr112";"MRT";"Inchiri";8.39;0.519;0.568;0.385;0.639
