"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"NGAr101";"NGA";"Akwa Ibom";NA;NA;NA;NA;NA
"NGAr102";"NGA";"Anambra";NA;NA;NA;NA;NA
"NGAr103";"NGA";"Bauchi";NA;NA;NA;NA;NA
"NGAr104";"NGA";"Edo";NA;NA;NA;NA;NA
"NGAr105";"NGA";"Benue";NA;NA;NA;NA;NA
"NGAr106";"NGA";"Borno";NA;NA;NA;NA;NA
"NGAr107";"NGA";"Cross River";NA;NA;NA;NA;NA
"NGAr108";"NGA";"Adamawa";NA;NA;NA;NA;NA
"NGAr109";"NGA";"Imo";NA;NA;NA;NA;NA
"NGAr110";"NGA";"Kaduna";NA;NA;NA;NA;NA
"NGAr111";"NGA";"Kano";NA;NA;NA;NA;NA
"NGAr112";"NGA";"Katsina";NA;NA;NA;NA;NA
"NGAr113";"NGA";"Kwara";NA;NA;NA;NA;NA
"NGAr114";"NGA";"Lagos";NA;NA;NA;NA;NA
"NGAr115";"NGA";"Niger";NA;NA;NA;NA;NA
"NGAr116";"NGA";"Ogun";NA;NA;NA;NA;NA
"NGAr117";"NGA";"Ondo";NA;NA;NA;NA;NA
"NGAr118";"NGA";"Oyo";NA;NA;NA;NA;NA
"NGAr119";"NGA";"Plateau";NA;NA;NA;NA;NA
"NGAr120";"NGA";"Rivers";NA;NA;NA;NA;NA
"NGAr121";"NGA";"Sokoto";NA;NA;NA;NA;NA
"NGAr122";"NGA";"Abia";NA;NA;NA;NA;NA
"NGAr123";"NGA";"Delta";NA;NA;NA;NA;NA
"NGAr124";"NGA";"Enugu";NA;NA;NA;NA;NA
"NGAr125";"NGA";"Jigawa";NA;NA;NA;NA;NA
"NGAr126";"NGA";"Kebbi";NA;NA;NA;NA;NA
"NGAr127";"NGA";"Kogi";NA;NA;NA;NA;NA
"NGAr128";"NGA";"Osun";NA;NA;NA;NA;NA
"NGAr129";"NGA";"Taraba";NA;NA;NA;NA;NA
"NGAr130";"NGA";"Yobe";NA;NA;NA;NA;NA
"NGAr131";"NGA";"Bayelsa";NA;NA;NA;NA;NA
"NGAr132";"NGA";"Ebonyi";NA;NA;NA;NA;NA
"NGAr133";"NGA";"Ekiti";NA;NA;NA;NA;NA
"NGAr134";"NGA";"Gombe";NA;NA;NA;NA;NA
"NGAr135";"NGA";"Nassarawa";NA;NA;NA;NA;NA
"NGAr136";"NGA";"Zamfora";NA;NA;NA;NA;NA
"NGAr137";"NGA";"Abuja FCT";NA;NA;NA;NA;NA
