"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"SENr101";"SEN";"Dakar";2604;0.602;0.757;0.48;0.599
"SENr102";"SEN";"Ziguinchor";505;0.591;0.767;0.591;0.456
"SENr103";"SEN";"Diourbel";1379;0.344;0.641;0.13;0.487
"SENr104";"SEN";"Saint Louis";1662;0.491;0.753;0.329;0.479
"SENr105";"SEN";"Tambacounda";883;0.369;0.651;0.195;0.395
"SENr106";"SEN";"Kaolack";1514;0.449;0.707;0.275;0.467
"SENr107";"SEN";"Thies";2052;0.493;0.7;0.335;0.512
"SENr108";"SEN";"Louga";915;0.444;0.751;0.251;0.467
"SENr109";"SEN";"Fatick";675;0.502;0.703;0.387;0.466
"SENr110";"SEN";"Kolda";1043;0.422;0.601;0.32;0.392
