"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"SLEr101";"SLE";"Bombali";895;0.459;0.669;0.358;0.404
"SLEr102";"SLE";"Kambia";550;0.423;0.592;0.316;0.405
"SLEr103";"SLE";"Koinadugu";468;0.418;0.67;0.285;0.381
"SLEr104";"SLE";"Port Loko";678;0.413;0.54;0.33;0.394
"SLEr105";"SLE";"Tonkolili";697;0.426;0.655;0.32;0.369
"SLEr106";"SLE";"Kailahun";437;0.438;0.676;0.339;0.367
"SLEr107";"SLE";"Kenema";853;0.433;0.571;0.351;0.404
"SLEr108";"SLE";"Kono";547;0.442;0.632;0.352;0.387
"SLEr109";"SLE";"Bo";710;0.445;0.598;0.365;0.406
"SLEr110";"SLE";"Bonthe";278;0.435;0.719;0.302;0.378
"SLEr111";"SLE";"Moyamba";427;0.414;0.605;0.324;0.362
"SLEr112";"SLE";"Pujehun";284;0.406;0.649;0.282;0.364
"SLEr113";"SLE";"Western Rural";684;0.496;0.594;0.437;0.471
"SLEr114";"SLE";"Western Urban";1100;0.579;0.68;0.518;0.551
