Agglomeration_ID;Agglomeration_Name;Longitude;Latitude;Population_2015
32;Abidjan;-3,949;5,368;4717347
2088;Bouake;-5,05;7,698;552444
2557;Daloa;-6,455;6,876;260984
4997;Korhogo;-5,631;9,462;250310
9054;Yamoussoukro;-5,263;6,807;220423
7768;San-Pedro;-6,67;4,756;169513
3320;Gagnoa;-5,959;6,133;164910
5631;Man;-7,548;7,403;154617
2786;Divo;-5,364;5,833;108316
28;Abengourou;-3,497;6,74;108296
8183;Soubre;-6,59;5,784;103999
2047;Bonon;-6,052;6,924;95086
2897;Duekoue;-7,357;6,737;92775
2038;Bondoukou;-2,803;8,039;91242
2087;Bouafle;-5,744;6,987;83736
8110;Sinfra;-5,903;6,618;82892
3606;Grand-Bassam;-3,751;5,215;76739
8819;Vavoua;-6,475;7,378;68955
2523;Dabou;-4,378;5,32;66692
5894;Meagui;-6,562;5,41;64488
2591;Danane;-8,148;7,259;64011
218;Adzope;-3,867;6,109;60349
3230;Ferkessedougou;-5,194;9,599;58850
250;Agboville;-4,212;5,926;58548
4129;Issia;-6,58;6,49;54850
3651;Guiglo;-7,499;6,539;53999
9105;Zagne;-7,485;6,213;50217
2748;Dimbokro;-4,707;6,653;50213
261;Agnibilekrou;-3,205;7,136;49958
7836;Seguela;-6,673;7,963;47468
46;Aboisso;-3,205;5,469;46954
7224;Oume;-5,414;6,384;46462
2608;Daoukro;-3,97;7,058;45570
8597;Toumodi;-5,017;6,556;44385
6963;Odienne;-7,564;9,503;43341
8449;Tengrela;-6,411;10,485;41440
4648;Katiola;-5,105;8,137;41436
2128;Boundiali;-6,477;9,524;41069
2048;Bonoua;-3,594;5,275;39191
7160;Ouangolodougou;-5,15;9,974;39043
8094;Sikensi;-4,576;5,659;35551
9191;Zuenoufla;-6,049;7,426;34960
2729;Diegonefla;-5,574;6,29;34452
1971;Blolequin;-8,004;6,57;33156
3811;Hire;-5,297;6,188;32845
2792;Djapadji;-6,821;5,291;31453
3224;Fengolo;-7,396;6,795;29464
3607;Grand-Lahou;-5,001;5,249;29259
2043;Bongouanou;-4,197;6,651;28841
4987;Kononfla;-5,608;6,656;28774
8352;Tanda;-3,165;7,802;28425
6634;N'Douci;-4,76;5,865;27863
2524;Dabouyo;-6,041;5,551;27839
7676;Saioua;-6,277;6,488;27637
421;Akoupe;-3,889;6,386;27407
3654;Guinglo-Tahouake;-7,165;7,038;27395
7800;Sassandra;-6,092;4,952;27345
2711;Dianra;-6,254;8,952;26597
1829;Beoumi;-5,58;7,676;26233
4409;Kahin-Zarabaon;-7,638;6,918;26155
2298;Buyo;-7,003;6,252;26041
5203;Lakota;-5,681;5,855;25668
3608;Grand-Zattry;-6,54;6,117;24835
1295;Arrah;-3,973;6,674;24790
1201;Ancien - Prozi;-6,787;7,487;24771
2049;Bonoufla;-6,472;7,132;24117
9185;Zouan-Hounien;-8,208;6,919;23506
8260;Tabou;-7,35;4,426;23363
8585;Touba;-7,68;8,287;22980
5861;M'Bengue;-5,9;10,003;22858
3438;Gbapleu;-7,16;6,479;22834
223;Affery;-3,953;6,322;22380
2529;Dagadji;-6,815;5,126;21924
9119;Zaliohouan;-6,237;6,795;21445
8966;Watte;-6,779;4,935;21344
2717;Diawala;-5,469;10,111;20776
4533;Kaouara;-5,193;10,094;20726
3633;Guepahouo;-5,709;6,472;20701
9035;Yabayo;-6,6;5,951;20642
8487;Tiassale;-4,827;5,897;20613
184;Adiapoto 2;-4,195;5,322;20453
5359;Luenoufla;-6,24;7,071;20187
9183;Zou;-7,796;6,976;19987
3571;Gonate;-6,24;6,901;19692
6755;Nielle;-5,625;10,198;19646
183;Adiake;-3,303;5,285;19583
8498;Tiebissou;-5,22;7,157;19354
2127;Bouna;-2,996;9,268;19275
7226;Oupoyo;-6,592;5,573;18895
5857;M'Batto;-4,364;6,473;18807
1779;Belle-Ville;-6,849;6,875;18706
3645;Guiberoua;-6,172;6,239;18528
1864;Biankouma;-7,617;7,741;18418
7285;Para;-7,329;5,516;18081
8171;Songon-Agban;-4,253;5,322;17936
3308;Gabiadji;-6,557;5,021;17932
1754;Bediala;-6,303;7,163;17774
8271;Tafire;-5,164;9,072;17667
2709;Diangobo;-3,637;6,156;17608
1587;Bangolo;-7,483;7,009;17331
3555;Gohouo-Zagna;-7,389;7,051;17302
6739;Niakaramadougou;-5,288;8,659;17278
5670;Mankono;-6,187;8,056;17157
3286;Fronan;-5,132;8,215;17108
1877;Bieby;-3,64;6,08;17107
3331;Galebre;-6,292;6,008;16843
6271;Moussadougou;-6,347;4,909;16797
9187;Zoukougbeu;-6,864;6,764;16767
7660;Sahoua;-6,265;5,067;16520
8582;Tortiya;-5,689;8,771;16441
1482;Bagohouo;-7,191;6,894;16428
8594;Touih;-6,535;5,258;16400
47;Aboisso-Comoe;-3,404;5,735;16378
6737;Niable;-3,266;6,661;16190
1747;Becedi-Brignan;-4,013;5,909;16081
3641;Guezon;-7,115;6,738;15902
1967;Blenimeouin;-7,178;7,135;15610
1735;Bayota;-5,952;6,468;15547
3602;Grabo;-7,5;4,924;15538
288;Ahigbe-Koffikro;-3,38;5,408;15342
5524;Mahapleu;-7,934;7,226;15334
5840;M'Bahiakro;-4,341;7,458;15307
2873;Doukouya;-5,559;6,426;15293
6997;Ogoudou;-5,158;5,896;15188
2862;Doropo;-3,349;9,813;14787
2944;Ebilassokro;-3,351;6,381;14691
9042;Yakasse-Attobrou;-3,65;6,185;14626
3798;Hermankono-Garo;-5,021;5,927;14610
6750;Niapidou;-6,064;5,34;14537
2519;Dabakala;-4,436;8,365;14526
7299;Pelezi;-6,815;7,284;14491
7560;Rubino;-4,317;6,073;14413
2742;Dikodougou;-5,772;9,068;14339
1425;Azaguie;-4,081;5,631;14260
3638;Guessabo;-6,953;6,735;14226
3151;Essuikro;-4,305;6,635;14177
1661;Baoulifla;-6,475;7,234;14042
3434;Gbagbam;-5,593;5,472;14032
1865;Bianouan;-3,192;6,012;13922
2816;Doba;-6,831;5,201;13891
9111;Zaïbo;-6,665;6,986;13800
3613;Grihiri;-6,348;5,431;13584
7679;Sakassou;-5,285;7,448;13551
5463;Mafere;-3,027;5,418;13484
7055;Okromodou;-5,686;5,355;13416
7165;Ouattaradougou;-7,195;6,592;13237
6529;Nambingue;-5,323;10,053;13221
2765;Diourouzon;-7,52;6,889;13213
3317;Gadouan;-6,153;6,677;13176
5050;Krazandougou;-7,202;6,481;13172
3543;Gnato;-7,459;5,049;13158
3283;Fresco;-5,584;5,11;13147
3266;Fouédougou;-7,256;6,513;13113
1205;Ande;-4,085;6,784;12955
6929;N'Zianouan;-4,824;6,013;12952
3446;Gbolouville;-4,661;5,797;12940
5304;Logouale;-7,552;7,109;12769
1498;Baibly;-7,298;7,176;12699
5298;Loboville;-6,828;6,134;12690
3321;Gagny;-6,745;5,049;12614
9146;Zeaglo;-7,835;6,553;12584
7056;Okrouyo;-6,406;5,767;12568
8081;Sietinfla;-5,733;6,825;12556
3380;Garango;-5,807;6,965;12551
3256;Flakiedougou;-3,13;8,478;12538
3371;Gaoussoukro;-2,973;5,255;12534
4962;Kolia;-6,464;9,765;12460
3554;Gohitafla;-5,879;7,49;12420
1575;Bandiahi;-6,184;7,204;12417
2736;Dignago;-6,28;6,291;12385
1489;Bahe-Sebon;-7,398;6,954;12344
5012;Kouibly;-7,236;7,257;12158
2069;Borotou-Koro;-7,192;8,473;12125
6772;Nizahon 1;-7,399;6,373;12122
1995;Bognonzra;-6,099;6,991;12116
4979;Kong;-4,607;9,151;12100
3640;Gueyo;-6,073;5,687;11955
3656;Guitry;-5,241;5,522;11762
1177;Amelekia;-3,571;6,825;11759
58;Aboude-Kouassikro;-4,565;5,897;11756
2549;Dakpadou;-6,067;5,238;11754
1742;Bazre;-5,489;6,723;11708
2834;Dokpodon;-5,452;5,187;11667
7227;Ouragahio;-5,932;6,31;11565
4167;Jacqueville;-4,414;5,206;11403
5033;Kouto;-6,408;9,895;11293
7307;Petit Tieme;-6,724;5,813;11289
5010;Kouamefla;-5,423;6,59;11253
2712;Dianra-Village;-6,244;8,766;11122
2611;Dapeoua;-6,859;6,151;11056
1978;Bocanda;-4,499;7,065;10980
7859;Semien;-7,131;7,612;10911
2829;Doka;-5,334;6,333;10858
7815;Scierie Jacob;-5,521;6,326;10857
8546;Tobly-Bangolo;-7,188;6,741;10844
2089;Bouandougou;-5,668;8,215;10834
194;Adjamene;-6,84;4,765;10812
53;Abongoua;-4,105;6,657;10696
3444;Gbliglo;-7,072;6,18;10691
4978;Konedougou;-6,665;6,031;10587
2347;Cechi;-4,419;6,247;10568
5699;Manzanouan;-3,285;6,841;10485
8109;Sinematiali;-5,395;9,58;10445
3568;Gomeneberi;-5,515;5,378;10412
4495;Kanakono;-6,235;10,356;10408
6223;Monoko-Zohi;-6,845;7,07;10395
1453;Bacon;-3,911;6,357;10359
8412;Tchefrodouo;-3,12;8,555;10344
1199;Ananguie;-3,773;6,222;10290
2078;Botro;-5,307;7,844;10283
8166;Songan;-3,21;6,112;10265
4995;Koreahinou;-7,123;6,479;10224
9184;Zouan;-7,6;6,544;10206
3570;Gomon I;-4,439;5,724;10116
2543;Dairo;-5,475;5,659;10103
9043;Yakasse-Me;-3,951;5,812;10095
9107;Zagoreta;-6,164;6,678;10072
9108;Zaguieta;-6,063;6,788;10061
1346;Assuefry;-2,979;7,7;10029
7763;Sankadiokro;-3,483;6,86;10006
