DIS_CODE;DIS_NOM;DIS_CTR;DIS_CTR_LON;DIS_CTR_LAT
CI.CM;Comoé ;Abengourou;-3,497;6,74
CI.AB;Abidjan;Abidjan;-4,02044;5,32374
CI.ZZ;Zanzan ;Bondoukou;-2,803;8,039
CI.VB;Vallée du Bandama ;Bouaké;-5,05;7,698
CI.LG;Lagunes ;Dabou;-4,378;5,32
CI.SM;Sassandra-Marahoué ;Daloa;-6,455;6,876
CI.LC;Lacs ;Dimbokro;-4,707;6,653
CI.GD;Gôh-Djiboua ;Gagnoa;-5,959;6,133
CI.SV;Savanes ;Korhogo;-5,631;9,462
CI.MG;Montagnes ;Man;-7,548;7,403
CI.DN;Denguélé ;Odienné;-7,564;9,503
CI.BS;Bas-Sassandra ;San-Pédro;-6,67;4,756
CI.WR;Woroba ;Séguéla;-6,673;7,963
CI.YM;Yamoussoukro;Yamoussoukro;-5,263;6,807
