CODE;REG_CODE;REG_NOM;REG_POP_2014;REG_CTR;REG_CTR_LON;REG_CTR_LAT;DIS_CODE;DIS_NOM;DIS_CTR
CI20;CI.CM.ID;Indénié-Djuablin ;560432;Abengourou;-3,497;6,74;CI.CM;Comoé ;Abengourou 
CI01;CI.AB.AB;Abidjan;4707404;Abidjan;-4,01952;5,31767;CI.AB;Abidjan;Abidjan
CI30;CI.CM.SC;Sud-Comoé ;64262;Aboisso;-3,205;5,469;CI.CM;Comoé ;Abengourou 
CI24;CI.LG.ME;Mé ;5147;Adzopé;-3,867;6,109;CI.LG;Lagunes ;Dabou 
CI03;CI.LG.AT;Agnéby-Tiassa ;606852;Agboville;-4,212;5,926;CI.LG;Lagunes ;Dabou 
CI14;CI.ZZ.GT;Gontougo ;667185;Bondoukou;-2,803;8,039;CI.ZZ;Zanzan ;Bondoukou 
CI25;CI.LC.MN;Moronou ;352616;Bongouanou;-4,197;6,651;CI.LC;Lacs ;Dimbokro 
CI23;CI.SM.MH;Marahoué ;862344;Bouaflé;-5,744;6,987;CI.SM;Sassandra-Marahoué ;Daloa 
CI11;CI.VB.GE;Gbêkê ;1010849;Bouaké;-5,05;7,698;CI.VB;Vallée du Bandama ;Bouaké 
CI08;CI.ZZ.BK;Bounkani ;267167;Bouna;-2,996;9,268;CI.ZZ;Zanzan ;Bondoukou 
CI05;CI.SV.BG;Bagoué ;375687;Boundiali;-6,477;9,524;CI.SV;Savanes ;Korhogo 
CI15;CI.LG.GP;Grands Ponts ;356495;Dabou;-4,378;5,32;CI.LG;Lagunes ;Dabou 
CI18;CI.SM.HS;Haut-Sassandra ;1430960;Daloa;-6,455;6,876;CI.SM;Sassandra-Marahoué ;Daloa 
CI19;CI.LC.IF;Iffou ;311642;Daoukro;-3,97;7,058;CI.LC;Lacs ;Dimbokro 
CI27;CI.LC.NZ;N’Zi ;247578;Dimbokro;-4,707;6,653;CI.LC;Lacs ;Dimbokro 
CI22;CI.GD.LD;Lôh-Djiboua ;729169;Divo;-5,364;5,833;CI.GD;Gôh-Djiboua ;Gagnoa 
CI16;CI.MG.GM;Guémon ;919392;Duékoué;-7,357;6,737;CI.MG;Montagnes ;Man 
CI31;CI.SV.TL;Tchologo ;467958;Ferkessédougou;-5,194;9,599;CI.SV;Savanes ;Korhogo 
CI13;CI.GD.GH;Gôh ;876117;Gagnoa;-5,959;6,133;CI.GD;Gôh-Djiboua ;Gagnoa 
CI09;CI.MG.CV;Cavally ;459964;Guiglo;-7,499;6,539;CI.MG;Montagnes ;Man 
CI17;CI.VB.HB;Hambol ;429977;Katiola;-5,105;8,137;CI.VB;Vallée du Bandama ;Bouaké 
CI28;CI.SV.PR;Poro ;763852;Korhogo;-5,631;9,462;CI.SV;Savanes ;Korhogo 
CI32;CI.MG.TP;Tonkpi ;992564;Man;-7,548;7,403;CI.MG;Montagnes ;Man 
CI07;CI.WR.BR;Béré ;389758;Mankono;-6,187;8,056;CI.WR;Woroba ;Séguéla 
CI10;CI.DN.FO;Folon ;96415;Minignan;-7,836;9,999;CI.DN;Denguélé ;Odienné 
CI21;CI.DN.KB;Kabadougou ;193364;Odienné;-7,564;9,503;CI.DN;Denguélé ;Odienné 
CI29;CI.BS.SP;San-Pédro ;826666;San-Pédro;-6,67;4,756;CI.BS;Bas-Sassandra ;San-Pédro 
CI12;CI.BS.GL;Gbôklé ;400798;Sassandra;-6,092;4,952;CI.BS;Bas-Sassandra ;San-Pédro 
CI33;CI.WR.WR;Worodougou ;272334;Séguéla;-6,673;7,963;CI.WR;Woroba ;Séguéla 
CI26;CI.BS.NW;Nawa ;1053084;Soubré;-6,59;5,784;CI.BS;Bas-Sassandra ;San-Pédro 
CI04;CI.WR.BF;Bafing ;183047;Touba;-7,68;8,287;CI.WR;Woroba ;Séguéla 
CI06;CI.LC.BL;Bélier ;346768;Toumodi;-5,017;6,556;CI.LC;Lacs ;Dimbokro 
CI02;CI.YM.YM;Yamoussoukro;355573;Yamoussoukro;-5,263;6,807;CI.YM;Yamoussoukro;Yamoussoukro
