CODE;REG_CODE;REG_NOM;REG_POP_2014;REG_CTR;REG_CTR_LON;REG_CTR_LAT;DIS_CODE;DIS_NOM;DIS_CTR;ABM_code;ABM_wgt
CI01;CI.AB.AB;Abidjan;4707404;Abidjan;-4,01952;5,31767;CI.AB;Abidjan;Abidjan;1260;315,439924713069
CI03;CI.LG.AT;Agnéby-Tiassa ;606852;Agboville;-4,212;5,926;CI.LG;Lagunes ;Dabou ;1261;32,7944280568114
CI04;CI.WR.BF;Bafing ;183047;Touba;-7,68;8,287;CI.WR;Woroba ;Séguéla ;1262;8,87584536881056
CI05;CI.SV.BG;Bagoué ;375687;Boundiali;-6,477;9,524;CI.SV;Savanes ;Korhogo ;1263;24,138317541278
CI06;CI.LC.BL;Bélier ;346768;Toumodi;-5,017;6,556;CI.LC;Lacs ;Dimbokro ;1264;21,6894946764238
CI07;CI.WR.BR;Béré ;389758;Mankono;-6,187;8,056;CI.WR;Woroba ;Séguéla ;1265;22,8772836333047
CI08;CI.ZZ.BK;Bounkani ;267167;Bouna;-2,996;9,268;CI.ZZ;Zanzan ;Bondoukou ;1266;12,6605007735111
CI09;CI.MG.CV;Cavally ;459964;Guiglo;-7,499;6,539;CI.MG;Montagnes ;Man ;1267;17,591106731211
CI10;CI.DN.FO;Folon ;96415;Minignan;-7,836;9,999;CI.DN;Denguélé ;Odienné ;1268;3,80030318970664
CI11;CI.VB.GE;Gbêkê ;1010849;Bouaké;-5,05;7,698;CI.VB;Vallée du Bandama ;Bouaké ;1269;60,8064047160871
CI12;CI.BS.GL;Gbôklé ;400798;Sassandra;-6,092;4,952;CI.BS;Bas-Sassandra ;San-Pédro ;1270;10,1359914591948
CI13;CI.GD.GH;Gôh ;876117;Gagnoa;-5,959;6,133;CI.GD;Gôh-Djiboua ;Gagnoa ;1271;41,2184852500205
CI14;CI.ZZ.GT;Gontougo ;667185;Bondoukou;-2,803;8,039;CI.ZZ;Zanzan ;Bondoukou ;1272;37,8640884443882
CI15;CI.LG.GP;Grands Ponts ;356495;Dabou;-4,378;5,32;CI.LG;Lagunes ;Dabou ;1273;15,2750125959121
CI16;CI.MG.GM;Guémon ;919392;Duékoué;-7,357;6,737;CI.MG;Montagnes ;Man ;1274;41,6458584419245
CI17;CI.VB.HB;Hambol ;429977;Katiola;-5,105;8,137;CI.VB;Vallée du Bandama ;Bouaké ;1275;26,2310145757452
CI18;CI.SM.HS;Haut-Sassandra ;1430960;Daloa;-6,455;6,876;CI.SM;Sassandra-Marahoué ;Daloa ;1276;57,3693298974792
CI19;CI.LC.IF;Iffou ;311642;Daoukro;-3,97;7,058;CI.LC;Lacs ;Dimbokro ;1277;20,217160182269
CI20;CI.CM.ID;Indénié-Djuablin ;560432;Abengourou;-3,497;6,74;CI.CM;Comoé ;Abengourou ;1278;23,0322078025849
CI21;CI.DN.KB;Kabadougou ;193364;Odienné;-7,564;9,503;CI.DN;Denguélé ;Odienné ;1279;6,48228914887147
CI22;CI.GD.LD;Lôh-Djiboua ;729169;Divo;-5,364;5,833;CI.GD;Gôh-Djiboua ;Gagnoa ;1281;30,4661264296638
CI23;CI.SM.MH;Marahoué ;862344;Bouaflé;-5,744;6,987;CI.SM;Sassandra-Marahoué ;Daloa ;1282;43,7121429031191
CI24;CI.LG.ME;Mé ;5147;Adzopé;-3,867;6,109;CI.LG;Lagunes ;Dabou ;1280;28,5138155514568
CI25;CI.LC.MN;Moronou ;352616;Bongouanou;-4,197;6,651;CI.LC;Lacs ;Dimbokro ;1283;21,3551203769673
CI27;CI.LC.NZ;N’Zi ;247578;Dimbokro;-4,707;6,653;CI.LC;Lacs ;Dimbokro ;1285;11,8509221095434
CI26;CI.BS.NW;Nawa ;1053084;Soubré;-6,59;5,784;CI.BS;Bas-Sassandra ;San-Pédro ;1284;36,4851967514753
CI28;CI.SV.PR;Poro ;763852;Korhogo;-5,631;9,462;CI.SV;Savanes ;Korhogo ;1286;51,2461629633575
CI29;CI.BS.SP;San-Pédro ;826666;San-Pédro;-6,67;4,756;CI.BS;Bas-Sassandra ;San-Pédro ;1287;29,0498354208144
CI30;CI.CM.SC;Sud-Comoé ;64262;Aboisso;-3,205;5,469;CI.CM;Comoé ;Abengourou ;1288;25,8795497877006
CI31;CI.SV.TL;Tchologo ;467958;Ferkessédougou;-5,194;9,599;CI.SV;Savanes ;Korhogo ;1289;24,7549068568372
CI32;CI.MG.TP;Tonkpi ;992564;Man;-7,548;7,403;CI.MG;Montagnes ;Man ;1290;61,1458839666802
CI33;CI.WR.WR;Worodougou ;272334;Séguéla;-6,673;7,963;CI.WR;Woroba ;Séguéla ;1291;12,1146039334758
CI02;CI.YM.YM;Yamoussoukro;355573;Yamoussoukro;-5,263;6,807;CI.YM;Yamoussoukro;Yamoussoukro;1292;23,2806857503057
