ADM3PCODE;nom;pop;men;ordi
CI110101;ANDO-KÉKRÉNOU;16826;2618;31
CI110102;BÉOUMI;85600;15381;481
CI110103;BODOKRO;37048;5223;141
CI110104;KONDROBO;18052;2544;14
CI110105;LOLOBO;11586;1592;8
CI110106;MARABADIASSA;10664;1870;58
CI110107;N'GUÉSSANKRO;15239;2198;31
CI110201;BOTRO;36461;5547;253
CI110202;DIABO;35761;5539;140
CI110203;KROFOINSOU;13402;1999;11
CI110204;LANGUIBONOU;32300;5244;95
CI110301;BOUAKÉ;832371;152187;16966
CI110302;BOUNDA;15710;1975;18
CI110303;BROBO;22780;4123;159
CI110304;DJÉBONOUA;40481;6242;145
CI110305;MAMINI;20509;2953;16
CI110401;SAKASSOU;69386;13362;335
CI110402;AYAOU-SRAN;16278;3431;31
CI110403;DIBRI-ASSIRIKRO;18405;3043;36
CI110404;TOUMODI-SAKASSOU;4041;981;2
CI170101;BASSAWA;21487;4376;61
CI170102;BONIEREDOUGOU;27696;6095;119
CI170103;DABAKALA;78634;14894;393
CI170104;FOUMBOLO;29022;7200;67
CI170105;NIÉMÉNÉ;16684;3582;65
CI170106;SATAMA-SOKORO;26163;6048;146
CI170107;SATAMA-SOKOURA;13067;3004;49
CI170108;SOKALA-SOBARA;17824;2922;43
CI170109;TENDÉNÉ-BAMBARASSO;15238;2648;10
CI170110;YAOSSÉDOUGOU;8616;1535;9
CI170201;KATIOLA;90641;18052;884
CI170202;FRONAN;56796;9327;150
CI170203;TIMBÉ;15035;2694;16
CI170301;NIAKARAMANDOUGOU;78301;14306;401
CI170302;ARIKOKAHA;13486;1807;10
CI170303;BADIKAHA;27498;6261;235
CI170304;NIÉDIÉKAHA;13193;2166;15
CI170305;TAFIRÉ;32240;5490;196
CI170306;TORTIYA;30409;5279;73
