"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"CIVr101";"CIV";"Abidjan";2728;0.564;0.571;0.537;0.586
"CIVr102";"CIV";"Yamoussoukro";112;0.623;0.712;0.55;0.619
"CIVr103";"CIV";"Bas Sassandra";529;0.406;0.525;0.259;0.491
"CIVr104";"CIV";"Comoe";749;0.378;0.484;0.229;0.487
"CIVr105";"CIV";"Denguele";381;0.332;0.458;0.152;0.527
"CIVr106";"CIV";"Goh-Djiboua";686;0.424;0.504;0.336;0.451
"CIVr107";"CIV";"Lacs";1098;0.389;0.539;0.232;0.47
"CIVr108";"CIV";"Lagunes";1023;0.456;0.495;0.388;0.493
"CIVr109";"CIV";"Montagnes";1365;0.38;0.463;0.27;0.44
"CIVr110";"CIV";"Sassandra-Marahoue";1614;0.407;0.537;0.276;0.454
"CIVr111";"CIV";"Savanes";628;0.409;0.533;0.266;0.482
"CIVr112";"CIV";"Vallee du Bandama";520;0.443;0.491;0.351;0.504
"CIVr113";"CIV";"Woroba";574;0.199;0.438;0.044;0.404
"CIVr114";"CIV";"Zanzan";834;0.32;0.44;0.165;0.451
